locus_tag,gene, protein_length, gene_length
BSU04890,ydcT,88,267
BSU24390,spoIIIAE,399,1200
BSU07540,yfmA,55,168
new16802591680378,S582, ,120
BSU20380,yorH,156,471
new29088352909456c,S1077, ,622
BSU26089,yqzN,63,192
BSU01060,ybxB,201,606
BSU02150,ybeF,82,249
new11505161150645c,S382, ,130
new26633362663531c,S973, ,196
BSU24210,yqiG,372,1119
new15074471507538,S522, ,92
BSU34120,ganB,429,1290
new599344599505c,S192, ,162
BSU09165,yhcO,322,969
BSU07830,hypO,221,666
BSU14910,ctaE,207,624
BSU19950,sspC,72,219
BSU32600,frlO,422,1269
BSU37900,spsB,474,1425
BSU40576,BSU40576, , 
new911330911718c,S286, ,389
BSU13260,ykoH,454,1365
BSU12920,dppA,274,825
new343495343573,S114, ,79
new37778723780532,S1420, ,2661
BSU21080,yonI,136,411
BSU40670,yybE,292,879
new38623273866553,S1458, ,4227
new36665773666932c,S1364, ,356
BSU09400,spoVR,468,1407
BSU19760,cgeD,426,1281
BSU06060,ydiO,427,1284
BSU38820,yxkF,297,894
BSUtRNA23,trnI-Asn, ,72
new29959112996282,S1110, ,372
BSU32400,yunG,115,348
new27679682768041c,S1020, ,74
BSU24050,bkdAA,330,993
BSU24020,bmrR,278,837
BSU33840,opcR,185,558
BSU36970,spoIIR,224,675
BSU20520,yoqT,49,150
new28181612818445,S1044, ,285
new27238052723891c,S1000, ,87
BSU26827,BSU26827, , 
BSU17430,ynbA,420,1263
BSU16590,ylxS,156,471
BSU29510,ytfI,226,681
BSU23680,yqjZ,114,345
BSU07990,yfjR,286,861
BSU21820,thyB,264,795
new19072021907287,S649, ,86
BSU12750,xkdV,687,2064
new129162129283,S52, ,122
BSU22430,panB,277,834
BSU30659,ytzI,58,177
BSU33470,bdbC,138,417
BSU20999,yoyJ,83,252
BSU24040,bkdAB,327,984
BSU00330,yabA,119,360
BSU34510,yvdQ,170,513
BSU01590,ybaS,306,921
BSU18940,yozK,115,349
new599509599874c,S193, ,366
BSU05480,mhqN,206,621
BSU13500,ktrD,449,1350
BSU09650,srtN,247,744
BSU12340,uxuA,359,1080
BSU27380,yrzB,93,282
new39231313923318,S1474, ,188
BSU04910,conB,354,1065
BSU03910,gabD,462,1389
BSU21890,ypgQ,205,618
BSU25100,zur,145,438
BSU19749,yoyG,37,114
BSU03050,ldh,321,966
BSUmiscRNA41,bsrA, , 
new32634033263797,S1220, ,395
BSU40980,yyaB,146,441
BSU27810,yrbD,484,1455
new31054383105878,S1157, ,441
BSU20950,yopB,75,228
BSU39910,yxnB,160,483
BSU16790,tepA,245,738
BSU08170,yfjA,104,315
BSU28370,rph,245,738
BSU40460,yyzB,67,204
BSU40290,yycN,156,471
BSU20750,yopV,64,195
BSU32370,yunD,462,1389
BSU12380,uxaB,480,1443
BSU19570,mhqE,303,912
new304308304389c,S104, ,82
BSU38100,ywcH,333,1002
BSU21310,yozP,109,330
new23889352389134c,S863, ,200
BSU05010,rapI,391,1176
BSU17920,ynzD,57,174
new490527490638c,S144, ,112
BSU18770,yoaV,292,879
BSU09200,yhcS,198,597
BSU04550,ydbP,106,321
new12402791240355,S419, ,77
BSU22800,spoIVA,492,1479
new23383922338537,S842, ,146
BSU05170,ydeE,290,873
BSU14100,ykuJ,79,240
new34511333451197c,S1286, ,65
BSU34740,crh,85,258
BSU14290,mobB,173,522
BSU08960,yhbF,235,708
BSU31100,ktrB,445,1338
BSU27750,bofC,170,513
BSU32090,yuiA,47,144
BSU13420,dgcW,749,2250
BSUmiscRNA13,BSUmiscRNA13, ,215
BSU32460,pucM,114,345
BSU14680,ykzC,142,429
new23858222386047c,S861, ,226
new6036160429,S34, ,69
new29962842996678,S1111, ,395
BSU37580,ywgB,156,471
BSU33980,yvbT,336,1011
BSU07890,yfkI,106,321
BSU02240,mpr,313,942
BSU33040,citG,462,1389
BSU16360,fliQ,89,270
BSU27480,recD2,798,2397
BSU01560,kbaA,198,597
BSU27350,yrrN,309,930
BSU20390,yorG,323,972
new30354753036308c,S1134, ,834
BSU08360,yfiQ,362,1089
BSU33010,cssR,225,678
BSU40140,epeB,240,723
BSU27220,forC2,980,2943
BSU32290,yutF,256,771
BSU25220,antE,98,297
BSU16940,recA,348,1047
BSU31300,yugS,429,1290
BSU02730,natK,318,957
BSU00430,yabG,290,873
BSU37410,albE,386,1161
BSU04560,ddl,354,1065
BSU11515,BSU11515, , 
BSU01510,ybaJ,255,768
BSU19689,yokU,92,279
BSU21420,bhlA,70,213
BSU21960,ypeQ,60,183
BSU27910,thrR,147,444
BSU31280,yugU,132,399
BSU28030,mreB,337,1014
BSU33430,cysI,571,1716
new834310834382,S262, ,73
BSU17160,pksH,259,780
BSU36580,ywnF,144,435
BSU07100,lplA,502,1509
BSU04780,ydcI,719,2160
BSU10540,ntdB,282,849
BSU07150,hmoA,125,378
BSU27468,yrzQ,43,132
BSUrRNA6,rrnJ-16S, ,1554
new20983302098837,S738, ,508
BSU30870,ytcB,316,951
BSU18290,yngL,130,393
new17487111749895c,S601, ,1185
BSU24080,bcd,364,1095
BSU28120,hemL,430,1290
BSU09870,khtS,112,339
new14305391430623,S489, ,85
BSU33970,araR,384,1155
BSU02585,BSU02585, , 
BSU13640,spo0E,85,258
BSU34620,yvdF,589,1770
BSU15660,yloC,291,876
BSU36530,bcrC,193,582
BSU15820,rpmB,62,189
BSU02640,tatCD,242,729
BSU35050,yvnA,157,474
BSU15480,pyrP,435,1308
new35104913510596c,S1308, ,106
BSU01660,nagZ,642,1929
BSU18819,yozU,70,213
BSU37990,ywdE,177,534
new12654321265529,S433, ,98
new28458392845914c,S1056, ,76
new21004472100579,S744, ,133
new37666403766713c,S1412, ,74
BSU38350,ywbE,65,198
BSU02840,ycdG,561,1686
BSU39040,yxiS,96,291
BSU29580,thiI,401,1206
BSU38740,cydC,567,1704
BSU14490,kinC,428,1287
BSU11510,yjbE,218,657
BSU27330,udk,211,636
BSU10210,yhfF,135,408
BSU29850,ytoQ,148,447
BSU27880,nifS,395,1188
BSU20720,yopY,92,279
new17810741781165c,S613, ,92
BSU35880,capA,380,1143
BSU07750,yflA,471,1416
BSU29380,tcyJ,269,810
BSU06076,ydzW/3,138,417
BSU17715,BSU17715, , 
new19160031916622,S657, ,620
new28969732897093c,S1071, ,121
BSU35319,smiA,125,378
BSU13340,ykoM,154,465
BSU07230,yetM,369,1110
new697399697485,S230, ,87
BSU15130,mraZ,143,432
BSU33110,liaG,290,873
new38826563882766c,S1462, ,111
BSU32950,yusW,145,438
BSU36600,mta,257,774
BSU07240,yetN,356,1071
BSU08340,padR,182,549
new36215403621617c,S1344, ,78
BSU16799,ylzJ,70,213
BSU29190,pfkA,319,960
BSU38990,scoA,238,717
BSU09680,nhaC,453,1362
new20980252098315c,S737, ,291
BSU25370,yqfB,139,420
new20761132076205,S725, ,93
BSU22500,ypjD,111,336
new646220646409,S205, ,190
BSU08980,yhbH,392,1179
BSU17630,yncC,471,1416
new38820153882097c,S1461, ,83
BSU14520,adeC,577,1734
BSUtRNA50,trnS-Leu1, ,82
BSU38960,yxjG,378,1137
BSU17050,mutL,627,1884
new38130643813166c,S1442, ,103
BSU03290,nasE,106,321
new928080928314,S290, ,235
BSU02760,natB,386,1161
BSU12460,xlyB,317,954
new17388241738940,S594, ,117
BSU03110,ycgH,446,1341
BSUmiscRNA80,sdaM, , 
BSU15420,divIVA,164,495
BSU06100,ydiS,343,1032
BSU00470,purR,285,858
BSU19670,yodN,226,681
BSU11079,yizB,115,348
BSU22320,ponA,914,2745
BSU31480,yuxJ,392,1179
BSU29370,tcyK,270,813
BSU14250,yknT,321,966
BSU09630,yhdX,35,108
BSU36890,upp,209,630
new40659824066068c,S1522, ,87
BSU26800,yrpB,347,1044
new15339401534049,S533, ,110
BSU31290,yugT,554,1665
BSU34710,psdS,356,1071
BSU26749,yrdD/2,66,201
BSU26740,cypA,410,1233
new29895662989649c,S1106, ,84
new10232531023349,S329, ,97
new12663491266589,S434, ,241
BSU06970,rhiL,427,1284
BSU39880,yxbC,330,993
BSU31920,adeR,422,1269
BSU12090,cotT,107,324
BSU26259,yqzO,49,150
new41729104173113,S1564, ,204
BSU14090,ykuI,407,1224
BSU21510,yolD,110,334
BSU36800,atpC,132,399
BSU18640,yoaK,225,678
BSU08860,ssuD,376,1131
BSU07970,yfjT,61,186
BSU18440,gltB,493,1482
BSU20870,yopJ,138,417
BSU05230,ydeK,287,864
BSU07110,lplB,318,957
BSU29249,ytzJ,63,192
BSU27570,yrzK,56,171
new938656938730,S299, ,75
BSUrRNA7,rrnJ-23S, ,2928
new603941604102,S196, ,162
new19254531925538c,S664, ,86
BSU00060,gyrB,638,1917
new36099033610036c,S1341, ,134
BSU25640,nadD,189,570
BSU28380,gerM,366,1101
BSU08240,catE,285,858
BSU07770,yfkS,66,201
BSU39730,iolD,637,1914
BSU10850,iolX,342,1029
new36308363630916c,S1349, ,81
BSU36010,alsS,571,1713
BSU34450,sacB,473,1422
BSU31610,mrpB,143,432
BSU06710,swrC,1065,3198
BSU36750,spoIID,343,1032
BSU04849,BSU04849, , 
new11504281150514c,S380, ,87
BSU24490,yqhQ,318,957
BSU00780,folB,120,363
BSU39740,iolC,325,978
new32645373264677c,S1222, ,141
new29896512989803c,S1107, ,153
BSU26370,yqaC,178,537
new34656653466067c,S1294, ,403
BSU27980,spoIVFA,264,795
new20552412055358c,S710, ,118
BSU00090,guaB,488,1467
new25602602560488c,S926, ,229
BSU35940,rbsA,493,1482
BSU26270,yqaL,225,678
BSU40420,purA,430,1293
BSUtRNA12,trnJ-Val, ,76
new24790902479155,S904, ,66
new512754512813,S159, ,60
BSU11950,yjcQ,94,285
BSU30480,ytqA,322,969
new30721803072285,S1150, ,106
BSU37300,ywiC,239,720
new11642541164369,S390, ,116
new29830962984281c,S1102, ,1186
new13511391351236c,S459, ,98
new21907862190883c,S774, ,98
BSU28980,dnaI,311,936
BSU04250,lrpC,144,435
new36760613676158c,S1372, ,98
BSU40230,yydA,159,480
new33649633365068c,S1263, ,106
new32256873226671,S1202, ,985
BSU28260,leuC,472,1419
BSU16720,ymxH,85,258
BSU20180,yosB,59,180
BSU04710,rsbV,109,330
BSU06360,guaA,513,1542
new20146332014704c,S683, ,72
new153039153507c,S58, ,469
new943787944498c,S301, ,712
BSU35790,pmi,316,951
BSU34690,psdB,646,1941
new36466133646699,S1357, ,87
new37940763794165c,S1431, ,90
new33882893388830c,S1273, ,542
BSU28520,etfA,325,978
BSU05490,mhqO,312,939
BSU29530,sppA,335,1008
new12525661252752,S423, ,187
new280556281740c,S97, ,1185
BSU06500,purM,346,1041
BSU40720,yyaT,148,447
BSU14670,yktC,265,798
BSU26870,yraN,289,870
BSU00550,mfd,1177,3534
new36439573645689,S1354, ,1733
BSU33640,yvaM,256,771
new20711152071197c,S720, ,83
new37882763788397c,S1427, ,122
BSU08190,glvR,254,765
BSU35300,secA,841,2526
new39666853966776c,S1483, ,92
new728598728731,S237, ,134
BSU33950,cggR,340,1023
BSU06630,yerH,396,1191
BSU38240,ywcA,513,1542
BSU10520,glcP,401,1206
BSU24010,bmr,389,1170
BSUrRNA28,rrnG-5S, ,119
BSU04690,rsbT,133,402
BSU24350,accB,159,480
BSU18070,plsY,193,582
BSU04310,ydaN,703,2112
BSU04130,yczJ,95,288
BSU10490,sipV,168,507
BSU33460,yvgT,202,609
BSU19870,yotI,120,363
new12774951278195c,S442, ,701
BSU38050,sacP,461,1386
BSU17750,yndD,520,1563
BSU40550,ppaC,309,930
BSU33120,liaH,225,678
BSU28730,araQ,281,846
BSU20080,yosL,117,354
BSU04500,ydbK,246,741
new32256213225771c,S1201, ,151
BSU22370,aspB,393,1182
BSU17940,yneI,120,363
BSU03010,amhX,383,1152
BSU33222,rsoA,79,240
BSU36610,ywnC,127,384
BSU24200,yqiH,97,294
BSU22640,trpB,400,1200
BSU20430,yorC,126,381
new14835391483640,S512, ,102
BSU37470,phrF,39,120
BSU23430,spoVAB,141,426
new18888901889195c,S632, ,306
BSU12520,xkdB,278,837
BSU13170,guaD,156,471
BSU03680,yclG,584,1755
new42087494208869c,S1577, ,121
BSU13470,sspD,64,195
BSU08040,yfjM,150,453
new14174931417560,S483, ,68
BSU31120,lytG,282,849
new14455421445637,S497, ,96
new36915993692493c,S1378, ,895
new16656391665709,S577, ,71
BSU24180,yqiK,243,732
BSU09230,yhcV,140,423
BSU17590,xylR,350,1053
BSU15070,ylbN,172,519
BSU03920,glcU,287,864
BSU15710,priA,805,2418
new33736493374171c,S1266, ,523
new36153853615449c,S1343, ,65
BSU20160,yosD,131,396
BSU36290,phoC,285,858
BSU12710,xkdR,88,267
BSU19970,yosX,117,354
BSU01750,cdaA,273,822
BSU39240,yxxF,311,936
new32933603293440c,S1230, ,81
BSU20020,yosS,142,429
BSU34680,yvcT,325,978
BSU02750,natA,246,741
BSU18880,yobE,219,661
new23959542396044c,S867, ,91
new41742604176850c,S1566, ,2591
BSU16420,cheB,357,1074
BSU09040,yhcD,51,156
BSU18130,bglC,499,1500
BSU27469,yrzR,63,192
new24359472436044,S887, ,98
BSU11820,yjcD,717,2154
new7038270493,S36, ,112
BSU23620,yqkF,306,921
BSU31390,yugI,130,393
BSU01530,cwlD,237,714
BSU08820,katA,483,1452
BSU08060,acoA,333,1002
BSU11440,oppB,311,936
new29911332991249c,S1109, ,117
new26039832604060c,S954, ,78
new28065662806915,S1042, ,350
BSU00590,rqcP,86,261
new27067112707758c,S985, ,1048
BSU09280,glpF,274,825
BSU36960,ywlB,147,444
new15718511571980,S552, ,130
BSU06160,gutP,463,1392
BSU28170,hemA,455,1368
BSU17760,yndE,363,1092
BSU36650,ureB,124,375
new14417891442065,S495, ,277
new33917783394421c,S1275, ,2644
BSU36340,ywpE,102,309
BSU00740,pabB,470,1413
new38805593880739c,S1460, ,181
BSU05370,ydfD,482,1449
BSU06073,ydzW/1,89,270
BSU08030,yfjN,325,978
new21261852126320c,S752, ,136
BSU29350,tcyM,235,708
BSU19800,phy,382,1149
BSU00070,gyrA,821,2466
new1886618974,S11, ,109
BSU12410,bstD,154,465
BSU22840,engA,436,1311
new34673933467541c,S1298, ,149
new35827813582910c,S1331, ,130
BSU03730,yclH,226,681
BSU29340,tcyN,259,780
BSU27000,adhR,140,423
BSU28630,pheT,804,2415
BSU31840,yueD,243,732
BSU07270,yfnH,254,765
BSU11750,cotY,162,489
new42048184204899,S1576, ,82
BSU27950,prp,112,339
BSU23420,spoVAC,150,453
BSU14220,ahpA,180,543
BSU31660,mrpG,124,375
new246583246657,S87, ,75
BSU08510,yfhF,303,912
new38534333853716c,S1454, ,284
BSU13990,kinA,606,1821
new21531702153718,S760, ,549
new474268474634,S140, ,367
BSU02280,ybfM,162,489
BSU31790,yueG,73,222
BSU27185,BSU27185, , 
BSU23300,ypuD,114,345
new15800471580120,S554, ,74
BSU09590,yhdT,461,1386
BSU38880,yxjO,291,876
new14095791409781c,S479, ,203
BSU14870,ctaA,306,921
BSU16650,rbfA,117,354
BSU29610,ezrA,562,1689
BSU38270,efeO,385,1158
BSU23760,coaA,319,960
BSU02610,ycbR,243,732
BSU03070,mdr,512,1539
BSU05540,ydfS,235,708
BSUtRNA49,trnS-Lys, ,76
new31276763127799c,S1166, ,124
BSU26910,yraK,271,816
BSU01320,rplR,120,363
BSU04950,yddF,108,327
BSUtRNA36,trnD-Thr, ,73
BSU11740,cotZ,148,447
BSU25240,yqfL,270,813
BSU13630,ykvA,106,321
new37281203728202c,S1391, ,83
BSU25810,arsR,105,318
BSU03220,putP,473,1422
BSU13410,ykoV,311,936
BSU25190,cccA,120,363
BSU38120,rodA,393,1182
BSU29160,ytvI,371,1116
BSU38670,yxlE,62,189
BSU19510,yojB,78,237
BSU39000,hbuT,472,1419
new25993772599490c,S947, ,114
new20474412047674c,S705, ,234
BSU21880,ypgR,377,1134
new158510159181,S61, ,672
BSU05500,mhqP,129,390
BSU23401,spoVAEA,203,612
BSU03590,tcyC,247,744
BSU14740,ylaD,97,294
BSU26130,yqbF,103,312
new724870724986,S234, ,117
new27076852707807,S986, ,123
BSU40330,rocE,467,1404
BSU20550,yoqP,113,342
BSU32650,yurS,91,276
BSU14072,ykzU,172,519
BSU08840,ssuA,332,999
BSU29270,ytoI,439,1320
BSU01490,rplM,145,438
BSU22730,ndk,149,450
new12333991233524,S415, ,126
new2638326532,S17, ,150
BSU01300,rpsH,132,399
BSU39540,yxeI,328,987
BSU07630,nos,363,1092
BSU18890,yobF,307,924
BSU10710,gerPB,80,243
BSU02690,ansZ,375,1128
BSU32820,fadE,594,1785
BSUmiscRNA93,ldsD, , 
new18727861873153,S623, ,368
BSU07910,yfkF,391,1176
BSU05700,ydhC,224,675
BSU11690,thiG,256,771
new818976820073,S253, ,1098
BSU02300,ybfN,92,279
new39564023956491,S1480, ,90
BSU21630,yokD,272,819
new21378152138036c,S757, ,222
BSU13890,ptsG,699,2100
new20695622069699c,S715, ,138
BSU05970,rex,215,648
BSU19940,yotB,275,828
BSU16130,trmFO,435,1308
BSU21639,BSU21639, , 
BSU07450,yfmJ,339,1020
BSU20400,yorF,304,915
BSU08630,mutY,369,1110
new37698093769955c,S1416, ,147
BSU37190,ywjE,398,1197
new119017119110,S50, ,94
BSU32480,pucD,745,2238
new28982272898291,S1074, ,65
BSU20500,ligB,270,813
BSU30970,glgC,380,1143
BSU33049,yvzF,61,186
BSU15240,divIB,263,792
new20345732037062c,S696, ,2490
BSU23920,yqjD,507,1524
BSU02400,ybgF,470,1413
BSU34090,yvfR,301,906
BSU28230,tig,424,1275
new29810722981150c,S1100, ,79
BSU21370,yomG,875,2628
BSU29620,hisJ,268,807
BSU36160,ywqM,293,882
new17415291741617,S596, ,89
BSU33130,liaI,126,381
BSU13030,ykhA,172,519
BSU02830,ycdF,258,777
BSU17350,ymzC,90,273
BSU10230,yhfH,46,141
BSU29540,ytdI,267,804
BSUmiscRNA14,BSUmiscRNA14, ,109
BSU06410,yebG,65,198
new34047093405636c,S1277, ,928
BSU16780,rnjB,555,1668
BSU02770,yccK,310,933
BSU21810,dfrA,168,507
BSU25790,arsB,346,1041
BSU20929,yoyI,76,231
BSU01710,ybbJ,160,483
BSU38920,pepT,410,1233
BSU07840,yfkN,1462,4389
BSU12200,yjiA,92,279
BSU08230,catD,134,405
new726024726828,S235, ,805
new32652413265327c,S1223, ,87
BSU38970,yxjF,257,774
BSU30490,ytqB,194,585
BSU18595,BSU18595, , 
new13977711398159c,S475, ,389
BSU00680,hprT,180,543
BSU26590,blt,400,1203
new211769211858,S76, ,90
new21571112157231c,S763, ,121
BSU07780,yfkR,384,1155
BSU04770,pamR,147,444
BSU33560,yvaD,133,402
new931808931878,S295, ,71
new29382732938329c,S1085, ,57
BSU24540,yqhL,126,381
BSU13820,ykvT,208,627
BSU23730,yqjV,410,1233
BSU15490,pyrB,304,915
BSU05329,ydzO,61,186
BSUmiscRNA60,BSUmiscRNA60, ,103
BSU30150,rmgR,772,2319
BSU18120,alsT,465,1398
new129589129701,S53, ,113
BSU31980,dhbE,539,1620
BSU13930,splB,342,1029
BSU12350,yjmF,278,837
BSU11370,appF,329,990
BSU35570,tuaE,488,1467
BSU28620,rnhC,313,939
new24484992448590c,S890, ,92
BSU00440,veg,86,261
new36359023636010c,S1352, ,109
BSU30680,ytjA,75,228
new21361722136261c,S756, ,90
BSU31050,gbsB,403,1209
new32504943252362c,S1212, ,1869
new30324213032763,S1129, ,343
BSU10380,hemAT,432,1299
BSU06580,yerC,104,315
BSU17790,yndH,205,618
BSU26559,yrzN,71,216
BSU06730,rlmCD,459,1380
BSU20928,yoyH,59,180
new9031890535,S43, ,218
BSU35100,yvlD,119,360
BSU37280,narG,1228,3687
new10502351050345c,S342, ,111
new29535592953623c,S1089, ,65
new12628761263611c,S429, ,736
new827843827923,S261, ,81
BSU25620,yqeL,118,357
BSU34640,yvdD,191,576
new32995903299699,S1236, ,110
new19042681904392c,S646, ,125
BSU09150,yhcN,189,570
BSU10980,yitG,422,1269
BSU18260,yngJ,380,1143
BSU35040,yvnB,1289,3870
BSU24990,pstS,300,903
new28008112800889c,S1040, ,79
BSU40590,yybM,251,756
BSU37940,ywdJ,440,1323
BSU02510,ycbH,510,1533
BSU02310,ybfO,446,1341
BSU03860,ycnD,249,750
BSU13730,queD,149,450
BSU27620,recJ,786,2361
BSU12480,pghB,200,603
new17702361770410,S609, ,175
BSU06830,rapH,376,1131
new21533572153439c,S761, ,83
BSU26120,yqbG,131,396
BSU32110,yumC,332,999
BSU15930,rnc,249,750
BSU27440,glnH,273,822
BSU17190,pksL,4538,13617
BSU36450,ywoG,396,1191
BSU26880,yraM,367,1104
BSU09090,yhcI,313,942
BSU29040,ytbD,396,1191
new13726361372742,S466, ,107
BSU36900,glyA,415,1245
new37401063740205c,S1399, ,100
BSU29240,ytrI,176,531
BSU19070,yobS,191,576
new860294861944,S273, ,1651
BSU29845,BSU29845, , 
new20448332045843,S703, ,1011
,bsrD, , 
BSU08700,ygaE,353,1062
BSU38430,gspA,286,861
BSU08620,yfhP,327,984
BSU09300,glpD,555,1668
new27810022781208,S1031, ,207
BSU02785,BSU02785, , 
BSU16400,flhF,366,1101
BSUrRNA2,rrnO-23S, ,2928
BSU15900,fabD,317,954
BSU22510,ypjC,290,873
new34915583491654c,S1305, ,97
BSU13000,ykfD,329,990
BSU26750,yrdD,45,135
BSU12850,ykaA,205,618
BSU28770,araL,272,819
BSU18200,nrnB,399,1200
new606414606611c,S198, ,198
new31256423125776c,S1165, ,135
BSU29880,malS,566,1701
BSU39230,wapA,2334,7005
new12757401275808,S440, ,69
new11895321189645,S396, ,114
BSU06130,ydjC,116,351
BSU11350,yjaZ,261,786
new31933793193546c,S1186, ,168
BSU00990,rpmGB,49,150
BSU15810,spoVM,26,81
BSU26810,yrpC,265,798
BSU01570,pdaB,254,765
BSU26560,yrkC,186,561
BSU12840,pit,333,1002
BSU13880,glcT,288,867
new10117511013617,S325, ,1867
BSU15850,sdaAB,220,663
BSU02820,rapJ,373,1122
BSU19550,yodC,202,609
BSU27110,yrhO,275,828
BSU07800,treP,470,1413
BSU23490,pupG,271,816
new17596011759654,S603, ,54
BSU01080,rpoC,1199,3600
BSU13790,ykvQ,232,699
BSU05780,ydhJ,325,978
BSU39340,hutP,151,456
new576099576163c,S185, ,65
BSU35070,yvmC,248,747
BSU12860,steT,438,1317
new25914282592036,S941, ,609
BSU40939,yyzM,68,207
BSU09610,yhdV,131,396
BSU37590,ywgA,166,501
new27248712724954c,S1001, ,84
BSU39370,hutI,421,1266
BSU40560,yybP,148,447
BSU11570,cwlQ,181,546
new13856091385671c,S470, ,63
BSU23340,ypuB,67,204
BSU15410,ylmH,257,774
BSU29479,BSU29479, , 
BSU31340,yugM,123,372
BSU05720,ydhE,395,1188
BSU20090,yosK,66,201
BSU34300,epsH,344,1035
BSU39300,yxiD,569,1710
BSU22019,ypzF,48,147
BSU05760,ydhH,165,498
BSU36370,ywpB,141,426
BSU10760,yisL,118,357
BSU09250,yhcX,513,1542
BSU07510,fecD,333,1002
BSU08900,yhzB,207,624
BSU37510,pbpG,691,2076
new27141412714230c,S994, ,90
new18740621874202,S624, ,141
BSU05899,ydhU/2,41,126
BSU12740,xkdU,192,579
BSU33890,yvbK,155,468
BSU08610,yfhO,861,2586
new21191282119278c,S749, ,151
BSU09550,mpfA,444,1335
new659343659558c,S216, ,216
BSU06570,yerB,331,996
BSU27580,yrvJ,518,1557
BSU30020,ytzE,73,222
BSUrRNA19,rrnB-16S, ,1555
new25932862594087,S944, ,802
new11531501153230,S386, ,81
BSU21500,uvrX,416,1251
BSU16460,cheD,166,501
BSU01350,rplO,146,441
BSU21250,yomR,405,1218
BSU19210,yocH,287,864
BSU00210,recR,198,597
BSUrRNA1,rrnO-16S, ,1555
BSUmiscRNA82,rnaC, ,126
BSU40350,rocR,461,1386
BSUtRNA57,trnB-Leu2, ,86
BSU27009,yrzP,64,195
BSU18830,pps,866,2601
BSU39930,yxaM,399,1200
BSU07010,rhgR,761,2286
new20923262092824c,S731, ,499
new23024392302629c,S823, ,191
BSU31640,mrpE,158,477
new32576073258036c,S1217, ,430
new40843844084588c,S1526, ,205
BSU03460,hxlA,210,633
new18918031891907,S634, ,105
BSU09958,sscA,28,87
BSUtRNA11,trnSL-Glu1, ,72
BSU30450,ytrB,292,879
BSU21680,msrB,143,432
BSU24620,tasA,261,786
BSU01390,infA,72,219
BSU07220,yetL,167,504
new34660693466155c,S1295, ,87
BSU04210,ydaF,183,552
new311859312061,S105, ,203
BSU02230,purT,384,1155
new22176912217966c,S794, ,276
BSU24830,yqgT,376,1131
new205212205408,S73, ,197
new24297c,S2, ,274
BSU35130,yvlA,108,327
new10717421072225,S349, ,484
BSU26630,yrdQ,288,867
BSU26190,yqaT,431,1296
BSU04850,ydcP,126,381
BSU38760,cydA,468,1407
BSU06083,ydzW/7,30,93
BSU38690,yxlC,106,321
BSU17060,ymzD,151,456
BSUtRNA67,trnB-His, ,76
new692610692739,S227, ,130
BSU40840,yyaJ,451,1356
BSU33620,yvaK,248,747
BSU03780,phrC,40,123
BSU40890,rpsR,79,240
BSU36110,chrS,158,477
new20075822008540c,S682, ,959
new24572122457348c,S895, ,137
BSU32680,sufU,147,444
BSU14210,ykuT,267,804
BSU21390,yomE,644,1935
BSU07610,citM,433,1302
new35757853575982c,S1327, ,198
BSU05340,aseA,435,1308
BSU40920,yyaF,366,1101
BSU33100,liaF,241,726
BSU11110,yitS,283,852
BSU40870,ccpB,311,936
BSU14270,moeB,339,1020
BSU13370,ykoQ,270,813
BSU39129,yxzI,62,189
BSU36499,BSU36499, , 
BSU38229,slrA,52,159
BSU02440,glnK,410,1233
BSU22910,motI,217,654
new489666490525c,S143, ,860
new10066551006728,S323, ,74
new18598841859964c,S618, ,81
BSU29020,gapB,340,1023
BSU18300,ppsE,1279,3840
BSU26230,yqaP,309,930
new30545123054650c,S1143, ,139
BSU03830,fpbQ,317,954
new37691093769193c,S1413, ,85
BSU21410,blyA,367,1104
new27791652779384c,S1027, ,220
BSU28750,araN,433,1302
BSU09890,yhaQ,298,897
new18859181886056,S630, ,139
BSU15530,pyrK,256,771
new679052679349,S225, ,298
BSU12720,xkdS,141,426
BSU05930,ydiD,151,456
BSU35920,rbsK,293,882
BSU34870,hisF,252,759
new37806573781040c,S1423, ,384
BSU22180,gpsB,98,297
BSU36269,ywzD,47,144
BSU30400,bceR,231,696
BSU22270,yppE,123,372
new13955901395909,mgtEriboswitch, ,320
BSU05400,ydfG,147,444
BSU11090,yitR,97,294
BSU13650,eag,143,432
BSU01889,ybzH,100,303
BSU25720,yqeD,208,627
new27580152759120,S1018, ,1106
new10546541054745,S344, ,92
new33355463335614,S1252, ,69
BSU16340,fliZ,219,660
new12756401275738,S439, ,99
BSU26210,yqaR,154,465
BSU10670,gerPF,75,228
BSU07650,yflK,221,666
BSU14410,sipT,193,582
BSU05180,ydeF,465,1398
BSU20910,yopF,71,216
BSU05380,ydfE,207,624
new15527721552898,S541, ,127
BSU32530,pucF,412,1239
BSU39800,yxcD,102,309
BSU39720,iolE,297,894
BSU19300,yozC,67,204
new23081652308470,S829, ,306
BSU31220,rhaEW,689,2070
BSU07160,yetH,120,363
BSU39020,nupG,397,1194
new16302211630381,S569, ,161
BSU35220,minJ,397,1194
BSU22340,nth,219,660
new23496022349670c,S850, ,69
BSUtRNA83,trnSL-Val2, ,73
BSU03270,ycgT,336,1011
BSU22960,gudB,427,1284
BSU13160,ohrB,136,411
BSU03230,putR,411,1236
BSU32570,frlD,284,855
BSU10600,yhjQ,108,327
BSU26730,yrdF,91,276
new201802202546c,S70, ,745
BSU30270,melE,426,1281
BSU38220,ywcC,223,672
BSU20240,yorV,72,219
